Region;SubRegion;Country;CountryCode;Year;DrugGroup;Drug;SpecificDrugName;KgEquivalent;Comment
Europe;Western and Central Europe;Andorra;AND;2012;Hallucinogens;Other Hallucinogens;;0;
Europe;Western and Central Europe;Andorra;AND;2012;Non-specified;Psychotropic substances;;0;
Americas;South America;Argentina;ARG;2012;Cannabis-type;Marijuana (herb);;129058;
Americas;South America;Argentina;ARG;2012;Cannabis-type;Hashish (resin);;35;
Americas;South America;Argentina;ARG;2012;Cannabis-type;Cannabis plants;;666;
Americas;South America;Argentina;ARG;2012;Cannabis-type;Cannabis seed;;29;
Americas;South America;Argentina;ARG;2012;Cannabis-type;Cannabis seed;;0;
Americas;South America;Argentina;ARG;2012;Opioids;Heroin;;2;
Americas;South America;Argentina;ARG;2012;Opioids;Heroin;;0;
Americas;South America;Argentina;ARG;2012;Opioids;Opium;Raw and prepared;0;
Americas;South America;Argentina;ARG;2012;Cocaine-type;Cocaine (base, paste and salts);;10462;
Americas;South America;Argentina;ARG;2012;ATS;Amphetamine;;0;
Americas;South America;Argentina;ARG;2012;ATS;Amphetamine;;10;
Americas;South America;Argentina;ARG;2012;ATS;Methamphetamine;;17;
Americas;South America;Argentina;ARG;2012;ATS;Methamphetamine;;0;
Americas;South America;Argentina;ARG;2012;ATS;Ecstasy-type substances;;1;
Americas;South America;Argentina;ARG;2012;ATS;Ecstasy-type substances;;25;
Americas;South America;Argentina;ARG;2012;Non-specified;Psychotropic substances;;0;
Americas;South America;Argentina;ARG;2012;Hallucinogens;LSD;;0;
Americas;South America;Argentina;ARG;2012;Solvents and Inhallants;Solvents and inhalants;Poppers;0;
Americas;South America;Argentina;ARG;2012;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;0;
Americas;South America;Argentina;ARG;2012;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;1;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Precursors;Non-specified precursors;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Cannabis-type;Marijuana (herb);;15;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Cannabis-type;Hashish (resin);;1;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Cannabis-type;Cannabis oil;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Heroin;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Opium;Raw and prepared;7;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Pharmaceutical opioids;Buprenorphine;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Pharmaceutical opioids;Methadone;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Pharmaceutical opioids;Codeine;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Cocaine-type;Cocaine salts;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;ATS;Non-specified ATS;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;ATS;Methamphetamine;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Sedatives and Tranquillizers;Sedatives and tranquillizers;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Sedatives and Tranquillizers;Benzodiazepines;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Sedatives and Tranquillizers;Other sedatives and tranquillizers;;0;tramadol
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Illicit morphine;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Poppy plants;Poppy straw;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Precursors;Ephedrine;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;ATS;Amphetamine;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;ATS;Ecstasy-type substances;;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Opioids;Pharmaceutical opioids;Tramadol;0;
Asia;Central Asia and Transcaucasia;Armenia;ARM;2012;Non-specified;Psychotropic substances;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Marijuana (herb);;2339;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Hashish (resin);;2;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Cannabis plants;;4;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Cannabis plants;;6279;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Cannabis oil;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Cannabis oil;;3;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Cannabis seed;;16;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cannabis-type;Cannabis seed;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Heroin;;1090;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Opium;Raw and prepared;104;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Illicit morphine;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Illicit morphine;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Pharmaceutical opioids;Oxycodone;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Pharmaceutical opioids;Oxycodone;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cocaine-type;Cocaine salts;;1587;
Oceania;Australia and New Zealand;Australia;AUS;2012;Cocaine-type;Coca leaf;;15;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Non-specified ATS;;1330;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Non-specified ATS;;1;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Amphetamine;;101;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Amphetamine;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Methamphetamine;;2268;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Ecstasy-type substances;;106;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Ecstasy-type substances;;4;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Prescription stimulants;Phentermine;3;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Prescription stimulants;Methylphenidate (Ritalin, Concerta);1;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;Non-specified sedatives and tranquillizers;;57;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;Benzodiazepines;;12;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;Benzodiazepines;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;Barbiturates;;7;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;Methaqualone;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;GHB;;14;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;GHB;;2;
Oceania;Australia and New Zealand;Australia;AUS;2012;Hallucinogens;Hallucinogens;;6;
Oceania;Australia and New Zealand;Australia;AUS;2012;Hallucinogens;LSD;;2;
Oceania;Australia and New Zealand;Australia;AUS;2012;Hallucinogens;LSD;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Substances not under international control;Phenethylamines;2C (psychedelics);32;
Oceania;Australia and New Zealand;Australia;AUS;2012;Substances not under international control;GBL;;194;
Oceania;Australia and New Zealand;Australia;AUS;2012;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;1;
Oceania;Australia and New Zealand;Australia;AUS;2012;Precursors;Other precursors;;11779;
Oceania;Australia and New Zealand;Australia;AUS;2012;Substances not under international control;Synthetic cannabinoids (Spice);;3;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Pharmaceutical opioids;;18;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Pharmaceutical opioids;;4;
Oceania;Australia and New Zealand;Australia;AUS;2012;Opioids;Pharmaceutical opioids;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;ATS;Other stimulants;;58;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;Other sedatives and tranquillizers;;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Sedatives and Tranquillizers;Other sedatives and tranquillizers;;1;
Oceania;Australia and New Zealand;Australia;AUS;2012;Hallucinogens;Other Hallucinogens;;11;
Oceania;Australia and New Zealand;Australia;AUS;2012;Other miscellaneous;Other miscellaneous;Doping substances;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Other miscellaneous;Other miscellaneous;Doping substances;4;
Oceania;Australia and New Zealand;Australia;AUS;2012;Substances not under international control;Other substances not under int. control;;58;
Oceania;Australia and New Zealand;Australia;AUS;2012;Other miscellaneous;Other miscellaneous;Doping substances;0;
Oceania;Australia and New Zealand;Australia;AUS;2012;Other miscellaneous;Other miscellaneous;Doping substances;1;
Europe;Western and Central Europe;Austria;AUT;2012;Cannabis-type;Marijuana (herb);;812;
Europe;Western and Central Europe;Austria;AUT;2012;Cannabis-type;Hashish (resin);;174;
Europe;Western and Central Europe;Austria;AUT;2012;Cannabis-type;Cannabis plants;;173;
Europe;Western and Central Europe;Austria;AUT;2012;Cannabis-type;Cannabis oil;;0;
Europe;Western and Central Europe;Austria;AUT;2012;Opioids;Heroin;;222;
Europe;Western and Central Europe;Austria;AUT;2012;Opioids;Opium;Raw and prepared;6;
Europe;Western and Central Europe;Austria;AUT;2012;Opioids;Illicit morphine;;0;
Europe;Western and Central Europe;Austria;AUT;2012;Opioids;Poppy plants;Poppy straw;2;
Europe;Western and Central Europe;Austria;AUT;2012;Cocaine-type;Cocaine salts;;65;
Europe;Western and Central Europe;Austria;AUT;2012;ATS;Amphetamine;;32;
Europe;Western and Central Europe;Austria;AUT;2012;ATS;Methamphetamine;;3;
Europe;Western and Central Europe;Austria;AUT;2012;ATS;Ecstasy-type substances;;2;
Europe;Western and Central Europe;Austria;AUT;2012;Hallucinogens;LSD;;0;
Asia;Central Asia and Transcaucasia;Azerbaijan;AZE;2012;Cannabis-type;Cannabis plants;;4757;
Asia;Central Asia and Transcaucasia;Azerbaijan;AZE;2012;Cannabis-type;Cannabis plants;;1017;
Asia;Central Asia and Transcaucasia;Azerbaijan;AZE;2012;Opioids;Poppy plants;Poppy straw;10;
Asia;Central Asia and Transcaucasia;Azerbaijan;AZE;2012;Cannabis-type;Cannabis plants;Vegetal fragments;37;
Asia;Central Asia and Transcaucasia;Azerbaijan;AZE;2012;Precursors;Other precursors;Potassium permanganate;50;
Europe;Western and Central Europe;Belgium;BEL;2012;Cannabis-type;Marijuana (herb);;5635;
Europe;Western and Central Europe;Belgium;BEL;2012;Cannabis-type;Hashish (resin);;1338;
Europe;Western and Central Europe;Belgium;BEL;2012;Cannabis-type;Cannabis plants;;33068;
Europe;Western and Central Europe;Belgium;BEL;2012;Opioids;Heroin;;112;
Europe;Western and Central Europe;Belgium;BEL;2012;Opioids;Opium;Raw and prepared;2;
Europe;Western and Central Europe;Belgium;BEL;2012;Cocaine-type;Cocaine salts;;19178;
Europe;Western and Central Europe;Belgium;BEL;2012;ATS;Amphetamine;;54;
Europe;Western and Central Europe;Belgium;BEL;2012;ATS;Methamphetamine;;3;
Europe;Western and Central Europe;Belgium;BEL;2012;ATS;Ecstasy-type substances;;7;
Europe;Western and Central Europe;Belgium;BEL;2012;Sedatives and Tranquillizers;GHB;;76;
Europe;Western and Central Europe;Belgium;BEL;2012;Hallucinogens;LSD;;0;
Africa;West and Central Africa;Benin;BEN;2012;Cannabis-type;Marijuana (herb);;1684;
Africa;West and Central Africa;Benin;BEN;2012;Cocaine-type;Cocaine salts;;70;
Africa;West and Central Africa;Benin;BEN;2012;ATS;Methamphetamine;;35;
Africa;West and Central Africa;Benin;BEN;2012;Opioids;Heroin;;7;
Americas;Caribbean;Bahamas;BHS;2012;Cocaine-type;Cocaine salts;;236;
Americas;Caribbean;Bahamas;BHS;2012;Cannabis-type;Marijuana (herb);;162000;
Americas;Caribbean;Bahamas;BHS;2012;Cannabis-type;Cannabis plants;;14907;
Americas;South America;Bolivia (Plurinational State of);BOL;2012;Cocaine-type;Cocaine salts;;36310;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Cannabis-type;Marijuana (herb);;244;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Cannabis-type;Cannabis plants;;428;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Cannabis-type;Cannabis seed;;0;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Cannabis-type;Marijuana (herb);Skunk;19;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Opioids;Heroin;;13;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Cocaine-type;Cocaine salts;;0;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;ATS;Amphetamine;;31;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;ATS;Amphetamine;;0;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;ATS;Ecstasy-type substances;;0;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;ATS;Ecstasy-type substances;;0;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;ATS;Prescription stimulants;Pyrovalerone;2;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;ATS;Non-specified ATS;compound mixing amphetamines;4;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Sedatives and Tranquillizers;Non-specified sedatives and tranquillizers;Medicine drugs;0;
Europe;South-Eastern Europe (including Turkey);Bosnia and Herzegovina;BIH;2012;Sedatives and Tranquillizers;Non-specified sedatives and tranquillizers;Medicine drugs;0;
Africa;Southern and South-Eastern Africa;Botswana;BWA;2012;Cannabis-type;Marijuana (herb);;440;
Africa;Southern and South-Eastern Africa;Botswana;BWA;2012;Cocaine-type;Cocaine salts;;0;
Africa;Southern and South-Eastern Africa;Botswana;BWA;2012;ATS;Ecstasy-type substances;;0;
Americas;South America;Brazil;BRA;2012;Cannabis-type;Hashish (resin);;206;
Americas;South America;Brazil;BRA;2012;Cannabis-type;Cannabis seed;;3;
Americas;South America;Brazil;BRA;2012;Opioids;Heroin;;10;
Americas;South America;Brazil;BRA;2012;Cocaine-type;Cocaine salts;;19875;
Americas;South America;Brazil;BRA;2012;Cocaine-type;Coca leaf;;0;
Americas;South America;Brazil;BRA;2012;ATS;Amphetamine;;3;
Americas;South America;Brazil;BRA;2012;ATS;Ecstasy-type substances;;92;
Americas;South America;Brazil;BRA;2012;Sedatives and Tranquillizers;GHB;;1;
Asia;East and South-East Asia;Brunei Darussalam;BRN;2012;Cannabis-type;Marijuana (herb);;1;
Asia;East and South-East Asia;Brunei Darussalam;BRN;2012;ATS;Ecstasy-type substances;;0;
Asia;East and South-East Asia;Brunei Darussalam;BRN;2012;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;0;
Asia;East and South-East Asia;Brunei Darussalam;BRN;2012;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;0;
Asia;East and South-East Asia;Brunei Darussalam;BRN;2012;Sedatives and Tranquillizers;Benzodiazepines;Erimin (Nimetazepam, Happy Five);0;
Asia;East and South-East Asia;Brunei Darussalam;BRN;2012;Opioids;Pharmaceutical opioids;Codeine;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cannabis-type;Marijuana (herb);;165;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cannabis-type;Hashish (resin);;15967;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cannabis-type;Cannabis plants;;691;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cannabis-type;Cannabis seed;;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cannabis-type;Cannabis plants;Dried cannabis;197;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cannabis-type;Cannabis plants;Vegetal fragments;1992;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Opioids;Heroin;;198;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Opioids;Opium;Raw and prepared;1;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Opioids;Pharmaceutical opioids;Methadone;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Opioids;Pharmaceutical opioids;Fentanyl;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cocaine-type;Cocaine salts;;81;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;ATS;Amphetamine;;21;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;ATS;Amphetamine;;15;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;ATS;Methamphetamine;;2;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;ATS;Methamphetamine;;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;ATS;Ecstasy-type substances;;15;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;ATS;Ecstasy-type substances;;1;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Sedatives and Tranquillizers;Sedatives and tranquillizers;;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Sedatives and Tranquillizers;GHB;;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Substances not under international control;Other Plant-based substances;Mushrooms;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;ATS;Other stimulants;MDPV;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Substances not under international control;Plant-based NPS;Salvia divinorum;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Cannabis-type;Synthetic cannabinoids under international control;JWH - 018;0;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Hallucinogens;Other Hallucinogens;Dimethyltryptamine (DMT);16;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Substances not under international control;Other NPS;Methylhexanamine (DMAA);12;
Europe;South-Eastern Europe (including Turkey);Bulgaria;BGR;2012;Substances not under international control;GBL;;65;
Europe;Eastern Europe;Belarus;BLR;2012;Cannabis-type;Marijuana (herb);;200;
Europe;Eastern Europe;Belarus;BLR;2012;Cannabis-type;Hashish (resin);;5;
Europe;Eastern Europe;Belarus;BLR;2012;Cannabis-type;Cannabis oil;;0;
Europe;Eastern Europe;Belarus;BLR;2012;Opioids;Heroin;;2;
Europe;Eastern Europe;Belarus;BLR;2012;Opioids;Opium;Raw and prepared;0;
Europe;Eastern Europe;Belarus;BLR;2012;Opioids;Illicit morphine;;0;
Europe;Eastern Europe;Belarus;BLR;2012;Cocaine-type;Cocaine salts;;1;
Europe;Eastern Europe;Belarus;BLR;2012;ATS;Amphetamine;;3;
Europe;Eastern Europe;Belarus;BLR;2012;ATS;Methamphetamine;;5;
Europe;Eastern Europe;Belarus;BLR;2012;ATS;Ecstasy-type substances;;0;
Europe;Eastern Europe;Belarus;BLR;2012;Substances not under international control;Synthetic cannabinoids (Spice);Non-specified synthetic cannabinoid;0;
Europe;Eastern Europe;Belarus;BLR;2012;ATS;Other stimulants;Methcathinone;0;
Americas;Central America (excluding Mexico);Belize;BLZ;2012;Cannabis-type;Marijuana (herb);;19100;
Americas;Central America (excluding Mexico);Belize;BLZ;2012;Non-specified;Non-specified;;156000;
Americas;Central America (excluding Mexico);Belize;BLZ;2012;Cocaine-type;Cocaine salts;;115;
Americas;Central America (excluding Mexico);Belize;BLZ;2012;Cocaine-type;Crack;;1;
Americas;Central America (excluding Mexico);Belize;BLZ;2012;ATS;Methamphetamine;Crystalline Methamphetamine;5;
Asia;East and South-East Asia;Cambodia;KHM;2012;ATS;Methamphetamine;;10;
Asia;East and South-East Asia;Cambodia;KHM;2012;ATS;Methamphetamine;Crystalline Methamphetamine;34;
Asia;East and South-East Asia;Cambodia;KHM;2012;ATS;Ecstasy-type substances;;0;
Asia;East and South-East Asia;Cambodia;KHM;2012;Opioids;Heroin;;0;
Asia;East and South-East Asia;Cambodia;KHM;2012;Cannabis-type;Marijuana (herb);;2;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cannabis-type;Marijuana (herb);;30387;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cannabis-type;Marijuana (herb);;0;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cannabis-type;Hashish (resin);;1622;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cannabis-type;Cannabis plants;;110295;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cannabis-type;Cannabis oil;;28;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cannabis-type;Cannabis oil;;24;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cannabis-type;Cannabis seed;;0;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Heroin;;114;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Heroin;;0;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Opium;Raw and prepared;195;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Opium;Raw and prepared;0;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Illicit morphine;;3;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Illicit morphine;;1;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Pharmaceutical opioids;;138;
Americas;Northern America (including Mexico);Canada;CAN;2012;Opioids;Pharmaceutical opioids;;5;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cocaine-type;Cocaine salts;;1276;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cocaine-type;Cocaine salts;;2;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cocaine-type;Crack;;6;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cocaine-type;Coca leaf;;28;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cocaine-type;Coca paste/cocaine base;Coca paste;15;
Americas;Northern America (including Mexico);Canada;CAN;2012;Cocaine-type;Non-specified cocaine;Liquid cocaine;13;
Americas;Northern America (including Mexico);Canada;CAN;2012;ATS;Amphetamine;;36;
Americas;Northern America (including Mexico);Canada;CAN;2012;ATS;Amphetamine;;4;
Americas;Northern America (including Mexico);Canada;CAN;2012;ATS;Methamphetamine;;204;
Americas;Northern America (including Mexico);Canada;CAN;2012;ATS;Methamphetamine;;43;
Americas;Northern America (including Mexico);Canada;CAN;2012;ATS;Ecstasy-type substances;;51;
Americas;Northern America (including Mexico);Canada;CAN;2012;ATS;Ecstasy-type substances;;17;
Americas;Northern America (including Mexico);Canada;CAN;2012;ATS;Prescription stimulants;Phentermine;0;
